process_tech,grid,Minor Time,Major Time,Scenario,rate
XL_CO2_COMPRESSOR,32,1,1,LL,263.8813356015749
INCUMBENT_CEMENT,1,1,1,LL,109.7928082
INCUMBENT_CEMENT,2,1,1,LL,57.21004566
INCUMBENT_CEMENT,3,1,1,LL,57.21004566
INCUMBENT_CEMENT,4,1,1,LL,59.31335616
INCUMBENT_CEMENT,5,1,1,LL,102.2208904
INCUMBENT_CEMENT,6,1,1,LL,57.21004566
INCUMBENT_CEMENT,7,1,1,LL,96.75228311
INCUMBENT_CEMENT,8,1,1,LL,57.21004566
INCUMBENT_CEMENT,9,1,1,LL,75.29851598
INCUMBENT_CEMENT,10,1,1,LL,57.21004566
INCUMBENT_CEMENT,11,1,1,LL,57.21004566
INCUMBENT_CEMENT,12,1,1,LL,37.85958904
INCUMBENT_CEMENT,13,1,1,LL,57.21004566
INCUMBENT_CEMENT,14,1,1,LL,57.21004566
INCUMBENT_CEMENT,15,1,1,LL,79.92579909
INCUMBENT_CEMENT,16,1,1,LL,57.21004566
INCUMBENT_CEMENT,17,1,1,LL,57.21004566
INCUMBENT_CEMENT,18,1,1,LL,50.90011416
INCUMBENT_CEMENT,19,1,1,LL,67.30593607
INCUMBENT_CEMENT,20,1,1,LL,54.26541096
INCUMBENT_CEMENT,21,1,1,LL,57.21004566
INCUMBENT_CEMENT,22,1,1,LL,57.21004566
INCUMBENT_CEMENT,23,1,1,LL,57.21004566
INCUMBENT_CEMENT,24,1,1,LL,57.21004566
INCUMBENT_CEMENT,25,1,1,LL,40.80422374
INCUMBENT_CEMENT,26,1,1,LL,95.0696347
INCUMBENT_CEMENT,27,1,1,LL,96.331621
INCUMBENT_CEMENT,28,1,1,LL,53.84474886
INCUMBENT_CEMENT,29,1,1,LL,55.10673516
INCUMBENT_CEMENT,30,1,1,LL,57.21004566
INCUMBENT_CEMENT,31,1,1,LL,57.21004566
CCS_CALCINED_CLAY_CEMENT,1,1,1,LL,109.79280820000002
CCS_CALCINED_CLAY_CEMENT,3,1,1,LL,57.21004566000001
CCS_CALCINED_CLAY_CEMENT,5,1,1,LL,102.22089040000003
CCS_CALCINED_CLAY_CEMENT,6,1,1,LL,57.21004566000001
CCS_CALCINED_CLAY_CEMENT,7,1,1,LL,96.75228311
CCS_CALCINED_CLAY_CEMENT,22,1,1,LL,57.21004566
CCS_CALCINED_CLAY_CEMENT,24,1,1,LL,57.21004566000001
CCS_CALCINED_CLAY_CEMENT,26,1,1,LL,95.06963470000001
CCS_CALCINED_CLAY_CEMENT,31,1,1,LL,57.21004566000001
NO_ACTION,2,1,1,LL,48.9150467196653
NO_ACTION,4,1,1,LL,50.71339402364931
NO_ACTION,8,1,1,LL,48.915046719665284
NO_ACTION,9,1,1,LL,64.38083355102785
NO_ACTION,10,1,1,LL,48.915046719665284
NO_ACTION,11,1,1,LL,48.915046719665284
NO_ACTION,12,1,1,LL,32.37025150591233
NO_ACTION,13,1,1,LL,48.9150467196653
NO_ACTION,14,1,1,LL,48.915046719665284
NO_ACTION,15,1,1,LL,68.33719762834272
NO_ACTION,16,1,1,LL,48.9150467196653
NO_ACTION,17,1,1,LL,48.915046719665284
NO_ACTION,18,1,1,LL,43.520004807713285
NO_ACTION,19,1,1,LL,57.54711378733857
NO_ACTION,20,1,1,LL,46.397360494087685
NO_ACTION,21,1,1,LL,48.915046719665284
NO_ACTION,23,1,1,LL,48.915046719665284
NO_ACTION,25,1,1,LL,34.88793773148992
NO_ACTION,27,1,1,LL,82.36430660796802
NO_ACTION,28,1,1,LL,46.03769103329089
NO_ACTION,29,1,1,LL,47.116699415681296
NO_ACTION,30,1,1,LL,48.915046719665284
