process_tech;grid;Minor Time;Major Time;Scenario;rate
NET;6;1;1;LL;91.32375824812203
LARGE_CO2_COMPRESSOR;6;1;1;LL;259.8765060207901
INCUMBENT_CEMENT;1;1;1;LL;109.7928082
INCUMBENT_CEMENT;2;1;1;LL;57.21004566
INCUMBENT_CEMENT;3;1;1;LL;57.21004566
INCUMBENT_CEMENT;4;1;1;LL;59.31335616
INCUMBENT_CEMENT;5;1;1;LL;102.2208904
CCS_CALCINED_CLAY_CEMENT;1;1;1;LL;109.7928082
CCS_CALCINED_CLAY_CEMENT;2;1;1;LL;57.21004566
CCS_CALCINED_CLAY_CEMENT;3;1;1;LL;57.21004566
CCS_CALCINED_CLAY_CEMENT;4;1;1;LL;59.31335616
CCS_CALCINED_CLAY_CEMENT;5;1;1;LL;102.2208904
